Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU07974.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU08760.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU03328.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU05404.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU01867.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02916.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU00836.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02344.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU04854.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU05057.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU07340.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU07760.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU09680.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU08755.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU04952.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU01132.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU00809.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU01813.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU08152.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU05627.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU06358.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU04963.7	CT12.0_protein	0.06030737921409201	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU08180.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU07169.7	CT12.0_protein	0.8954715367323469	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02193.7	CT12.0_protein	0.38433852467434215	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02397.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02476.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU01754.7	CT12.0_protein	1.7660444431189772	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU06652.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02702.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU07281.7	CT12.0_protein	2.0	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU06075.7	CT12.0_protein	2.0	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU01870.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU10042.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU02252.7	CT12.0_protein	2.0	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU07914.7	CT12.0_protein	1.3090169943749472	False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU01528.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU10106.7	CT12.0_protein		False	12.0	protein	GLYCOLYSIS-VARIANTS
NCU07550.7	CT12.0_protein	2.0	False	12.0	protein	GLYCOLYSIS-VARIANTS
