Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU04721.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU07937.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03504.7	CT16.3_RNA	2.0	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU07761.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02282.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03492.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02468.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00008.7	CT16.3_RNA	1.309016994374948	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU09646.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04796.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU05558.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04380.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06063.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03929.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU01654.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02287.7	CT16.3_RNA	0.7580781044003313	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU08924.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU09885.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00299.7	CT16.3_RNA		False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06448.7	CT16.3_RNA	0.3843385246743412	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU08828.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
Average	CT16.3_RNA	1.151213529068407	True	16.3	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02299.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU06005.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
