$Gene	0
NCU00003.7	22.0
NCU00021.7	2.0
NCU00028.7	16.0
NCU00051.7	18.0
NCU00064.7	4.0
NCU00066.7	10.0
NCU00103.7	20.0
NCU00104.7	8.0
NCU00124.7	4.0
NCU00137.7	4.0
NCU00145.7	4.0
NCU00182.7	8.0
NCU00187.7	0.0
NCU00212.7	22.0
NCU00236.7	0.0
NCU00240.7	6.0
NCU00258.7	4.0
NCU00260.7	20.0
NCU00261.7	8.0
NCU00263.7	14.0
NCU00316.7	8.0
NCU00336.7	6.0
NCU00350.7	14.0
NCU00351.7	14.0
NCU00352.7	0.0
NCU00364.7	4.0
NCU00372.7	16.0
NCU00378.7	8.0
NCU00395.7	2.0
NCU00409.7	2.0
NCU00413.7	10.0
NCU00422.7	4.0
NCU00434.7	4.0
NCU00450.7	14.0
NCU00451.7	10.0
NCU00454.7	16.0
NCU00461.7	4.0
NCU00472.7	6.0
NCU00475.7	10.0
NCU00498.7	20.0
NCU00501.7	10.0
NCU00521.7	6.0
NCU00522.7	0.0
NCU00537.7	14.0
NCU00549.7	20.0
NCU00556.7	18.0
NCU00567.7	18.0
NCU00575.7	2.0
NCU00585.7	0.0
NCU00605.7	14.0
NCU00633.7	4.0
NCU00634.7	8.0
NCU00643.7	8.0
NCU00692.7	0.0
NCU00706.7	12.0
NCU00707.7	8.0
NCU00712.7	0.0
NCU00714.7	14.0
NCU00716.7	8.0
NCU00720.7	8.0
NCU00722.7	10.0
NCU00726.7	10.0
NCU00729.7	8.0
NCU00732.7	4.0
NCU00772.7	0.0
NCU00775.7	16.0
NCU00792.7	6.0
NCU00793.7	10.0
NCU00796.7	8.0
NCU00838.7	12.0
NCU00843.7	10.0
NCU00865.7	8.0
NCU00880.7	10.0
NCU00881.7	0.0
NCU00902.7	0.0
NCU00911.7	22.0
NCU00913.7	12.0
NCU00957.7	2.0
NCU00963.7	18.0
NCU00964.7	10.0
NCU00995.7	18.0
NCU01001.7	14.0
NCU01002.7	8.0
NCU01007.7	18.0
NCU01083.7	2.0
NCU01092.7	20.0
NCU01101.7	18.0
NCU01102.7	22.0
NCU01104.7	0.0
NCU01107.7	10.0
NCU01108.7	12.0
NCU01112.7	4.0
NCU01115.7	0.0
NCU01119.7	8.0
NCU01140.7	14.0
NCU01145.7	18.0
NCU01160.7	0.0
NCU01187.7	18.0
NCU01190.7	14.0
NCU01207.7	14.0
NCU01215.7	12.0
NCU01221.7	4.0
NCU01227.7	6.0
NCU01271.7	0.0
NCU01277.7	12.0
NCU01290.7	14.0
NCU01320.7	6.0
NCU01332.7	0.0
NCU01343.7	14.0
NCU01347.7	14.0
NCU01390.7	18.0
NCU01399.7	2.0
NCU01414.7	12.0
NCU01427.7	22.0
NCU01454.7	16.0
NCU01457.7	16.0
NCU01459.7	18.0
NCU01468.7	0.0
NCU01473.7	22.0
NCU01474.7	22.0
NCU01479.7	20.0
NCU01485.7	6.0
NCU01516.7	0.0
NCU01552.7	22.0
NCU01555.7	12.0
NCU01606.7	20.0
NCU01612.7	0.0
NCU01615.7	8.0
NCU01657.7	0.0
NCU01659.7	6.0
NCU01666.7	16.0
NCU01680.7	16.0
NCU01689.7	22.0
NCU01701.7	12.0
NCU01704.7	0.0
NCU01720.7	0.0
NCU01735.7	8.0
NCU01741.7	14.0
NCU01745.7	14.0
NCU01776.7	12.0
NCU01786.7	2.0
NCU01792.7	18.0
