$Gene	0h	2h	4h	6h	8h	10h	12h	14h	16h	18h	20h
NCU02712.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU00643.7	1.68284886688	1.96622632199	1.95596391876	1.65518044061	1.15528513184	0.608198080218	0.18018112388	0.00131024560874	0.125944986395	0.516208373945	1.05349787878
NCU02482.7	1.41310442982	0.867743609743	0.362576010251	0.0511239883555	0.0280389994215	0.300336659487	0.785264672833	1.33545156975	1.78369345733	1.99376791916	1.90183252641
NCU10048.7	1.68284886688	1.96622632199	1.95596391876	1.65518044061	1.15528513184	0.608198080218	0.18018112388	0.00131024560874	0.125944986395	0.516208373945	1.05349787878
NCU06785.7	0.830937189948	0.334335381462	0.0400315851913	0.0374658454408	0.32741790029	0.821770216223	1.37028724209	1.80627256515	1.99722858562	1.88512304179	1.50402523529
NCU02564.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU06029.7	1.15528513184	1.65518044061	1.95596391876	1.96622632199	1.68284886688	1.19195104105	0.64271856295	0.202065273989	0.00390738654851	0.108465837145	0.483964914516
NCU07340.7	1.15528513184	1.65518044061	1.95596391876	1.96622632199	1.68284886688	1.19195104105	0.64271856295	0.202065273989	0.00390738654851	0.108465837145	0.483964914516
NCU05991.7	0.0218523992662	0.0603073792141	0.384338524674	0.895471536732	1.43837114679	1.84804809616	2.0	1.84804809616	1.43837114679	0.895471536732	0.384338524674
NCU05597.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU03748.7	0.830937189948	0.334335381462	0.0400315851913	0.0374658454408	0.32741790029	0.821770216223	1.37028724209	1.80627256515	1.99722858562	1.88512304179	1.50402523529
NCU07188.7	0.139850852105	0.540833546613	1.08135867467	1.5971585917	1.93147973893	1.98272064671	1.73530900806	1.26443416204	0.713196767289	0.249119967018	0.0132384678874
NCU01065.7	0.830937189948	0.334335381462	0.0400315851913	0.0374658454408	0.32741790029	0.821770216223	1.37028724209	1.80627256515	1.99722858562	1.88512304179	1.50402523529
NCU07169.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU01606.7	1.41310442982	0.867743609743	0.362576010251	0.0511239883555	0.0280389994215	0.300336659487	0.785264672833	1.33545156975	1.78369345733	1.99376791916	1.90183252641
NCU04411.7	1.99891711134	1.8717844137	1.47971311325	0.94185517109	0.421667663832	0.0772375556446	0.0132384678874	0.249119967019	0.713196767289	1.26443416204	1.73530900806
NCU04952.7	1.68284886688	1.96622632199	1.95596391876	1.65518044061	1.15528513184	0.608198080218	0.18018112388	0.00131024560874	0.125944986395	0.516208373945	1.05349787878
NCU01142.7	1.41310442982	0.867743609743	0.362576010251	0.0511239883555	0.0280389994215	0.300336659487	0.785264672833	1.33545156975	1.78369345733	1.99376791916	1.90183252641
