PwyClass	Gene
DNA Metabolism	NCU09089.7
DNA Metabolism	NCU02181.7
DNA Metabolism	NCU06431.7
DNA Metabolism	NCU05554.7
DNA Metabolism	NCU01552.7
DNA Metabolism	NCU01207.7
DNA Metabolism	NCU01271.7
DNA Metabolism	NCU06970.7
DNA Metabolism	NCU04156.7
DNA Metabolism	NCU08620.7
