	Phase	Circadian time Acrophase
NCU03094.7	12	0.8000000000000007
NCU04806.7	2	14.133333333333333
NCU06220.7	2	14.133333333333333
NCU08997.7	4	16.266666666666666
NCU03064.7	18	7.199999999999999
NCU09176.7	2	14.133333333333333
NCU03310.7	2	14.133333333333333
NCU06666.7	2	14.133333333333333
NCU02677.7	12	0.8000000000000007
NCU05390.7	12	0.8000000000000007
NCU07082.7	10	22.666666666666664
NCU08807.7	2	14.133333333333333
NCU01689.7	2	14.133333333333333
NCU06506.7	2	14.133333333333333
NCU03565.7	16	5.066666666666666
NCU00556.7	18	7.199999999999999
NCU01735.7	18	7.199999999999999
NCU06137.7	18	7.199999999999999
NCU02941.7	2	14.133333333333333
NCU05387.7	2	14.133333333333333
NCU09610.7	0	12.0
NCU01632.7	10	22.666666666666664
NCU08820.7	22	11.466666666666669
NCU08535.7	12	0.8000000000000007
NCU04443.7	14	2.9333333333333336
NCU06493.7	6	18.4
NCU00021.7	2	14.133333333333333
NCU05151.7	0	12.0
NCU06729.7	0	12.0
NCU08828.7	10	22.666666666666664
NCU01190.7	0	12.0
NCU02475.7	2	14.133333333333333
NCU01765.7	0	12.0
NCU06042.7	0	12.0
NCU03623.7	14	2.9333333333333336
NCU03949.7	22	11.466666666666669
NCU03651.7	2	14.133333333333333
NCU06482.7	12	0.8000000000000007
NCU02375.7	4	16.266666666666666
NCU07965.7	0	12.0
NCU01119.7	0	12.0
NCU03605.7	14	2.9333333333333336
NCU08064.7	14	2.9333333333333336
NCU06061.7	0	12.0
NCU07174.7	22	11.466666666666669
NCU00847.7	18	7.199999999999999
NCU00902.7	6	18.4
NCU02287.7	10	22.666666666666664
NCU04803.7	10	22.666666666666664
NCU00843.7	2	14.133333333333333
NCU00905.7	0	12.0
NCU07320.7	2	14.133333333333333
NCU08052.7	8	20.53333333333333
NCU09228.7	12	0.8000000000000007
NCU00501.7	4	16.266666666666666
NCU04108.7	4	16.266666666666666
NCU05420.7	14	2.9333333333333336
