ID	Phase
NCU04046	22
NCU02002	2
NCU10400	10
NCU00472	12
NCU01510	8
NCU01176	18
NCU09436	4
NCU09758	22
NCU02376	2
NCU07736	18
NCU09559	12
NCU00863	10
NCU03699	22
NCU06290	10
NCU09043	2
NCU05852	14
NCU06658	4
NCU07700	2
NCU04281	6
NCU00673	4
NCU05069	10
NCU06308	0
NCU07831	4
NCU04336	6
NCU08901	20
NCU05833	4
NCU00145	4
NCU02509	4
NCU07467	10
NCU08352	4
NCU00990	14
NCU07281	10
NCU08998	12
NCU02573	6
NCU04348	0
NCU00988	16
NCU06220	14
NCU05200	4
NCU07064	14
NCU05627	10
NCU00377	0
NCU06651	0
NCU16699	10
NCU09079	12
NCU00030	2
NCU09210	2
NCU09418	14
NCU03988	4
NCU00375	20
NCU08954	10
NCU08512	8
NCU00064	10
NCU00309	16
NCU07311	6
NCU02110	2
NCU03154	12
NCU02513	10
NCU01983	4
NCU07737	16
NCU08295	2
NCU09674	12
NCU09823	18
NCU06121	12
NCU09207	0
NCU03393	4
NCU05421	6
NCU07769	6
NCU07139	22
NCU08700	18
NCU02076	2
NCU00404	0
NCU04823	12
NCU01827	2
NCU04193	4
NCU07333	12
NCU07200	6
NCU04473	4
NCU09416	14
NCU03021	18
NCU01882	2
NCU05882	14
NCU09458	2
NCU09975	14
NCU07380	4
NCU05838	12
NCU00979	6
NCU07670	22
NCU05894	2
NCU08457	6
NCU04466	10
NCU08823	10
NCU02400	22
NCU01742	4
NCU04675	14
NCU00590	8
NCU02744	6
NCU09115	12
NCU05988	8
NCU02057	22
NCU05182	2
NCU01083	0
NCU06235	22
NCU09488	4
NCU04305	10
NCU01221	6
NCU00911	10
NCU08048	14
NCU07930	4
NCU06217	22
NCU01362	14
NCU04605	12
NCU07233	10
NCU08412	10
NCU07956	2
NCU03549	4
NCU03142	12
NCU02599	14
NCU05974	22
NCU05597	12
NCU07743	22
NCU04872	6
NCU03240	20
NCU06203	8
NCU07033	12
NCU01258	10
NCU01845	22
NCU04109	10
NCU07402	14
NCU09050	8
NCU08021	10
NCU05552	6
NCU00636	14
NCU05554	6
NCU08112	6
NCU09291	20
NCU00257	2
NCU01786	0
NCU17263	14
NCU00937	16
NCU03266	0
NCU08502	6
NCU09109	4
NCU06081	12
NCU03516	6
NCU09976	16
NCU00549	4
NCU01376	10
NCU01904	4
NCU02959	10
NCU08784	10
NCU07273	10
NCU07067	16
NCU04407	6
NCU00777	0
NCU04653	22
NCU04800	10
NCU06679	4
NCU08495	12
NCU01905	4
NCU02378	8
NCU01007	8
NCU03462	16
NCU03639	2
NCU07266	6
NCU02343	14
NCU03504	4
NCU06845	22
NCU06926	20
NCU01949	6
NCU03755	12
NCU03102	4
NCU09602	8
NCU01957	22
NCU04570	18
NCU06542	6
NCU00084	12
NCU07121	18
NCU00853	12
NCU11340	12
NCU06253	22
NCU07547	2
NCU05373	2
NCU09349	2
NCU09910	10
NCU04160	22
NCU05490	14
NCU02550	16
NCU01174	4
NCU02468	0
NCU04171	4
NCU00812	16
NCU03112	6
NCU04053	8
NCU16347	22
NCU04030	12
NCU03500	14
NCU02321	10
NCU01233	14
NCU04444	6
NCU07138	14
NCU16466	4
