PathwayClass	Gene
TCA-VARIANTS	NCU10008.7
TCA-VARIANTS	NCU01227.7
TCA-VARIANTS	NCU08471.7
TCA-VARIANTS	NCU09810.7
TCA-VARIANTS	NCU02407.7
TCA-VARIANTS	NCU02438.7
TCA-VARIANTS	NCU05425.7
TCA-VARIANTS	NCU02482.7
TCA-VARIANTS	NCU01692.7
TCA-VARIANTS	NCU02366.7
TCA-VARIANTS	NCU00959.7
TCA-VARIANTS	NCU08336.7
TCA-VARIANTS	NCU07756.7
TCA-VARIANTS	NCU03031.7
TCA-VARIANTS	NCU00775.7
TCA-VARIANTS	NCU07697.7
TCA-VARIANTS	NCU06211.7
TCA-VARIANTS	NCU04899.7
