Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU07281.7	CT16.3_protein	1.4383711467890776	False	16.3	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT16.3_protein	1.4383711467890776	False	16.3	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT16.3_protein	0.8954715367323469	False	16.3	protein	Pentose-Phosphate-Cycle
Average	CT16.3_protein	1.2329525429569677	True	16.3	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Pentose-Phosphate-Cycle
Average	CT18.4_RNA	1.3432802332480633	True	18.4	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT18.4_protein	0.3843385246743412	False	18.4	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT18.4_protein	2.0	False	18.4	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT18.4_protein	1.848048096156426	False	18.4	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT18.4_protein	1.848048096156426	False	18.4	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Pentose-Phosphate-Cycle
Average	CT18.4_protein	1.2539063157494734	True	18.4	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT20.5_RNA	0.2806601996613497	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT20.5_RNA	0.8954715367323469	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT20.5_RNA	0.8954715367323469	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT20.5_RNA	0.2806601996613497	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT20.5_RNA	0.8954715367323469	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	Pentose-Phosphate-Cycle
Average	CT20.5_RNA	1.207829854093452	True	20.5	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT20.5_protein	0.8954715367323458	False	20.5	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT20.5_protein	1.848048096156426	False	20.5	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT20.5_protein	1.848048096156426	False	20.5	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT20.5_protein	2.0	False	20.5	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT20.5_protein	2.0	False	20.5	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT20.5_protein	1.848048096156426	False	20.5	protein	Pentose-Phosphate-Cycle
Average	CT20.5_protein	1.1976969923898992	True	20.5	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT22.7_RNA	0.021852399266194644	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT22.7_RNA	0.38433852467434215	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT22.7_RNA	0.38433852467434215	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT22.7_RNA	0.021852399266194644	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT22.7_RNA	2.0	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT22.7_RNA	2.0	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT22.7_RNA	0.38433852467434215	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT22.7_RNA	2.0	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT22.7_RNA	2.0	False	22.7	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT22.7_RNA	0.8954715367323469	False	22.7	RNA	Pentose-Phosphate-Cycle
Average	CT22.7_RNA	1.0092191909287762	True	22.7	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT22.7_protein	1.4383711467890763	False	22.7	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT22.7_protein	2.0	False	22.7	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT22.7_protein	1.4383711467890776	False	22.7	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT22.7_protein	0.06030737921409201	False	22.7	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT22.7_protein	0.06030737921409201	False	22.7	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT22.7_protein	0.06030737921409201	False	22.7	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT22.7_protein	1.848048096156426	False	22.7	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT22.7_protein	0.06030737921409201	False	22.7	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT22.7_protein	1.848048096156426	False	22.7	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT22.7_protein	2.0	False	22.7	protein	Pentose-Phosphate-Cycle
Average	CT22.7_protein	1.0814068002747375	True	22.7	protein	Pentose-Phosphate-Cycle
NCU03254.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT0.8_RNA	0.06030737921409135	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT0.8_RNA	0.06030737921409191	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT0.8_RNA	1.8480480961564256	False	0.8	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT0.8_RNA	0.3843385246743418	False	0.8	RNA	Pentose-Phosphate-Cycle
Average	CT0.8_RNA	0.8078067805370501	True	0.8	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT0.8_protein	1.8480480961564256	False	0.8	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT0.8_protein	1.8480480961564256	False	0.8	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT0.8_protein	0.8954715367323467	False	0.8	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT0.8_protein	0.021852399266194308	False	0.8	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT0.8_protein	0.021852399266194308	False	0.8	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT0.8_protein	0.021852399266194308	False	0.8	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT0.8_protein	1.4383711467890774	False	0.8	protein	Pentose-Phosphate-Cycle
