$Gene	CT12.0	CT14.1	CT16.3	CT18.4	CT20.5	CT22.7	CT0.8	CT2.9	CT5.1	CT7.2	CT9.3	CT11.5
NCU09088.7	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214092016	0.02185239926619431	0.28066019966134814	0.7580781044003315	1.3090169943749468	1.7660444431189775	1.9902680687415701
NCU07868.7	0.02185239926619431	0.06030737921409146	0.38433852467434115	0.8954715367323458	1.4383711467890765	1.8480480961564254	2.0	1.8480480961564265	1.4383711467890783	0.8954715367323476	0.3843385246743425	0.060307379214092016
NCU00575.7	0.8954715367323469	1.4383711467890776	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323467	0.3843385246743418	0.060307379214091905	0.02185239926619431	0.2806601996613487	0.7580781044003317
NCU01107.7	1.9902680687415704	1.7660444431189783	1.3090169943749481	0.7580781044003333	0.2806601996613497	0.021852399266194644	0.06030737921409135	0.3843385246743407	0.8954715367323454	1.4383711467890765	1.8480480961564254	2.0
NCU04732.7	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214092016	0.02185239926619431	0.28066019966134814	0.7580781044003315	1.3090169943749468	1.7660444431189775	1.9902680687415701
NCU05731.7	0.8954715367323469	1.4383711467890776	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323467	0.3843385246743418	0.060307379214091905	0.02185239926619431	0.2806601996613487	0.7580781044003317
NCU06700.7	0.28066019966134903	0.02185239926619431	0.06030737921409146	0.38433852467434115	0.8954715367323458	1.4383711467890765	1.8480480961564256	2.0	1.8480480961564265	1.438371146789078	0.8954715367323476	0.3843385246743425
NCU02545.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
NCU01912.7	1.3090169943749472	0.7580781044003322	0.28066019966134903	0.02185239926619431	0.06030737921409146	0.38433852467434115	0.895471536732346	1.438371146789077	1.8480480961564256	2.0	1.8480480961564263	1.438371146789078
NCU01144.7	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214092016	0.02185239926619431	0.28066019966134814	0.7580781044003315	1.3090169943749468	1.7660444431189775	1.9902680687415701
NCU07481.7	1.9902680687415704	1.7660444431189783	1.3090169943749481	0.7580781044003333	0.2806601996613497	0.021852399266194644	0.06030737921409135	0.3843385246743407	0.8954715367323454	1.4383711467890765	1.8480480961564254	2.0
NCU06658.7	1.7660444431189772	1.3090169943749463	0.7580781044003313	0.28066019966134814	0.02185239926619431	0.060307379214091905	0.38433852467434215	0.8954715367323469	1.4383711467890778	1.8480480961564263	2.0	1.8480480961564258
NCU07701.7	1.3090169943749472	0.7580781044003322	0.28066019966134903	0.02185239926619431	0.06030737921409146	0.38433852467434115	0.895471536732346	1.438371146789077	1.8480480961564256	2.0	1.8480480961564263	1.438371146789078
NCU02082.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
NCU04596.7	1.7660444431189772	1.3090169943749463	0.7580781044003313	0.28066019966134814	0.02185239926619431	0.060307379214091905	0.38433852467434215	0.8954715367323469	1.4383711467890778	1.8480480961564263	2.0	1.8480480961564258
NCU06910.7	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214092016	0.02185239926619431	0.28066019966134814	0.7580781044003315	1.3090169943749468	1.7660444431189775	1.9902680687415701
NCU08377.7	0.8954715367323469	1.4383711467890776	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323467	0.3843385246743418	0.060307379214091905	0.02185239926619431	0.2806601996613487	0.7580781044003317
NCU07590.7	1.9902680687415704	1.7660444431189783	1.3090169943749481	0.7580781044003333	0.2806601996613497	0.021852399266194644	0.06030737921409135	0.3843385246743407	0.8954715367323454	1.4383711467890765	1.8480480961564254	2.0
NCU03738.7	0.8954715367323469	1.4383711467890776	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323467	0.3843385246743418	0.060307379214091905	0.02185239926619431	0.2806601996613487	0.7580781044003317
NCU08484.7	1.4383711467890776	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.3843385246743418	0.060307379214091905	0.02185239926619431	0.2806601996613487	0.7580781044003317	1.3090169943749468
NCU02808.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
NCU03147.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
NCU04225.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
NCU06892.7	0.060307379214092016	0.38433852467434215	0.8954715367323469	1.4383711467890776	1.848048096156426	2.0	1.8480480961564258	1.4383711467890774	0.8954715367323467	0.38433852467434115	0.06030737921409157	0.02185239926619431
NCU09536.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
NCU03525.7	0.7580781044003322	0.28066019966134903	0.02185239926619431	0.06030737921409146	0.38433852467434115	0.8954715367323458	1.438371146789077	1.8480480961564256	2.0	1.8480480961564263	1.438371146789078	0.8954715367323476
NCU01145.7	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214092016	0.02185239926619431	0.28066019966134814	0.7580781044003315	1.3090169943749468	1.7660444431189775	1.9902680687415701
NCU03155.7	1.848048096156426	2.0	1.848048096156426	1.4383711467890776	0.8954715367323469	0.38433852467434215	0.060307379214091905	0.02185239926619431	0.28066019966134814	0.7580781044003317	1.3090169943749468	1.7660444431189775
