$Gene	0h	2h	4h	6h	8h	10h	12h	14h	16h	18h	20h
NCU09930.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU09041.7	0.139850852105	0.540833546613	1.08135867467	1.5971585917	1.93147973893	1.98272064671	1.73530900806	1.26443416204	0.713196767289	0.249119967018	0.0132384678874
NCU03648.7	0.0218523992662	0.0603073792141	0.384338524674	0.895471536732	1.43837114679	1.84804809616	2.0	1.84804809616	1.43837114679	0.895471536732	0.384338524674
NCU02771.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU11196.7	1.15528513184	1.65518044061	1.95596391876	1.96622632199	1.68284886688	1.19195104105	0.64271856295	0.202065273989	0.00390738654851	0.108465837145	0.483964914516
NCU02629.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU00643.7	0.00182985389577	0.12146063576	0.50808287562	1.04420060265	1.56688559823	1.91729190198	1.98892970396	1.76002800338	1.30015089862	0.749056792884	0.274225283308
NCU06785.7	1.41310442982	0.867743609743	0.362576010251	0.0511239883555	0.0280389994215	0.300336659487	0.785264672833	1.33545156975	1.78369345733	1.99376791916	1.90183252641
NCU02366.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU01169.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU03748.7	1.15528513184	1.65518044061	1.95596391876	1.96622632199	1.68284886688	1.19195104105	0.64271856295	0.202065273989	0.00390738654851	0.108465837145	0.483964914516
NCU07188.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU06724.7	1.97514935431	1.94437637024	1.62660381136	1.11840396831	0.574220708435	0.159433396504	9.74759906958e-05	0.144635739839	0.549122459311	1.0906325802	1.60459911486
NCU07169.7	1.41310442982	0.867743609743	0.362576010251	0.0511239883555	0.0280389994215	0.300336659487	0.785264672833	1.33545156975	1.78369345733	1.99376791916	1.90183252641
NCU03651.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU01606.7	0.307017488691	0.0302698783093	0.0482269443388	0.355431466038	0.858522819523	1.40460962686	1.82773402796	1.99930690622	1.86718661062	1.47152500209	0.932565149998
NCU02227.7	0.0218523992662	0.0603073792141	0.384338524674	0.895471536732	1.43837114679	1.84804809616	2.0	1.84804809616	1.43837114679	0.895471536732	0.384338524674
NCU06727.7	0.574220708435	1.11840396831	1.62660381136	1.94437637024	1.97514935431	1.70957073654	1.22835087011	0.677734304769	0.225055511296	0.00788529868552	0.0922225214671
NCU03756.7	0.139850852105	0.540833546613	1.08135867467	1.5971585917	1.93147973893	1.98272064671	1.73530900806	1.26443416204	0.713196767289	0.249119967018	0.0132384678874
