Gene	Phase_rna	Circadian time Acrophase_rna	Phase_protein	Circadian time Acrophase_protein
NCU01516.7	2.0	14.1333333333	2.0	14.1333333333
NCU01524.7	2.0	14.1333333333		
NCU01525.7	0.0	12.0		
NCU01527.7	12.0	0.8		
NCU01528.7	0.0	12.0		
NCU01534.7	18.0	7.2		
NCU01545.7	12.0	0.8		
NCU01546.7			20.0	9.33333333333
NCU01549.7	18.0	7.2		
NCU01551.7	14.0	2.93333333333		
NCU01552.7	8.0	20.5333333333	6.0	18.4
NCU01555.7	12.0	0.8	0.0	12.0
NCU01559.7	22.0	11.4666666667		
NCU01560.7	18.0	7.2		
NCU01562.7	8.0	20.5333333333		
NCU01565.7			0.0	12.0
NCU01568.7	10.0	22.6666666667		
NCU01569.7			6.0	18.4
NCU01571.7	12.0	0.8		
NCU01575.7	2.0	14.1333333333		
NCU01577.7	10.0	22.6666666667		
NCU01589.7			2.0	14.1333333333
NCU01593.7	8.0	20.5333333333		
NCU01595.7	4.0	16.2666666667		
NCU01606.7	6.0	18.4	2.0	14.1333333333
NCU01608.7	2.0	14.1333333333		
NCU01611.7	10.0	22.6666666667		
NCU01612.7	2.0	14.1333333333	2.0	14.1333333333
NCU01613.7	0.0	12.0		
NCU01615.7	10.0	22.6666666667	18.0	7.2
NCU01620.7	0.0	12.0		
NCU01632.7			10.0	22.6666666667
NCU01634.7	6.0	18.4		
NCU01635.7	0.0	12.0		
NCU01637.7			4.0	16.2666666667
NCU01638.7	22.0	11.4666666667		
NCU01643.7	16.0	5.06666666667		
NCU01644.7	10.0	22.6666666667		
NCU01646.7	0.0	12.0		
NCU01647.7			4.0	16.2666666667
NCU01648.7			0.0	12.0
NCU01650.7			2.0	14.1333333333
NCU01655.7	20.0	9.33333333333		
NCU01657.7	2.0	14.1333333333	2.0	14.1333333333
NCU01658.7	14.0	2.93333333333		
NCU01659.7	18.0	7.2	0.0	12.0
NCU01660.7	12.0	0.8		
NCU01666.7	10.0	22.6666666667	2.0	14.1333333333
NCU01667.7	22.0	11.4666666667		
NCU01669.7	4.0	16.2666666667		
NCU01670.7	12.0	0.8		
NCU01673.7	12.0	0.8		
NCU01675.7	2.0	14.1333333333		
NCU01678.7	14.0	2.93333333333		
NCU01680.7	10.0	22.6666666667	2.0	14.1333333333
NCU01689.7	4.0	16.2666666667	2.0	14.1333333333
NCU01692.7	4.0	16.2666666667		
NCU01697.7	20.0	9.33333333333		
NCU01701.7	12.0	0.8	0.0	12.0
NCU01702.7	4.0	16.2666666667		
NCU01704.7	10.0	22.6666666667	10.0	22.6666666667
NCU01705.7	10.0	22.6666666667		
NCU01713.7	22.0	11.4666666667		
NCU01720.7	22.0	11.4666666667	22.0	11.4666666667
NCU01725.7	0.0	12.0		
NCU01731.7	16.0	5.06666666667		
NCU01734.7	14.0	2.93333333333		
NCU01735.7	10.0	22.6666666667	18.0	7.2
NCU01741.7	20.0	9.33333333333	10.0	22.6666666667
NCU01742.7	4.0	16.2666666667		
NCU01744.7			16.0	5.06666666667
NCU01745.7	14.0	2.93333333333	4.0	16.2666666667
NCU01747.7	4.0	16.2666666667		
NCU01748.7			20.0	9.33333333333
NCU01752.7	22.0	11.4666666667		
NCU01753.7	8.0	20.5333333333		
NCU01754.7			20.0	9.33333333333
NCU01759.7	4.0	16.2666666667		
NCU01764.7	20.0	9.33333333333		
NCU01765.7			0.0	12.0
NCU01766.7	0.0	12.0		
NCU01767.7	6.0	18.4		
NCU01768.7	2.0	14.1333333333		
NCU01769.7	6.0	18.4		
NCU01772.7			2.0	14.1333333333
NCU01776.7	4.0	16.2666666667	16.0	5.06666666667
NCU01779.7			2.0	14.1333333333
NCU01784.7	2.0	14.1333333333		
NCU01786.7	0.0	12.0	2.0	14.1333333333
NCU01789.7	18.0	7.2		
NCU01790.7	8.0	20.5333333333		
NCU01792.7	10.0	22.6666666667	4.0	16.2666666667
NCU01793.7	20.0	9.33333333333		
NCU01797.7			0.0	12.0
NCU01800.7	6.0	18.4	2.0	14.1333333333
NCU01802.7	16.0	5.06666666667		
NCU01803.7	10.0	22.6666666667		
NCU01806.7	2.0	14.1333333333		
NCU01807.7			2.0	14.1333333333
NCU01808.7			2.0	14.1333333333
NCU01812.7	2.0	14.1333333333		
NCU01813.7	22.0	11.4666666667		
NCU01814.7	20.0	9.33333333333		
NCU01816.7	6.0	18.4		
NCU01817.7	0.0	12.0		
NCU01819.7	12.0	0.8		
NCU01821.7	4.0	16.2666666667	14.0	2.93333333333
NCU01824.7	22.0	11.4666666667		
NCU01826.7	22.0	11.4666666667		
NCU01827.7	2.0	14.1333333333		
NCU01828.7	20.0	9.33333333333		
NCU01831.7	2.0	14.1333333333	18.0	7.2
NCU01833.7	10.0	22.6666666667		
NCU01835.7	6.0	18.4		
NCU01838.7	14.0	2.93333333333		
NCU01845.7	22.0	11.4666666667	22.0	11.4666666667
NCU01846.7	12.0	0.8		
NCU01854.7	20.0	9.33333333333		
NCU01856.7	14.0	2.93333333333		
NCU01857.7			0.0	12.0
NCU01859.7	4.0	16.2666666667		
NCU01861.7	10.0	22.6666666667	22.0	11.4666666667
NCU01862.7	22.0	11.4666666667		
NCU01869.7	12.0	0.8		
NCU01870.7	10.0	22.6666666667		
NCU01873.7	12.0	0.8		
NCU01878.7	16.0	5.06666666667	22.0	11.4666666667
NCU01882.7	2.0	14.1333333333		
NCU01886.7	4.0	16.2666666667		
NCU01888.7	4.0	16.2666666667		
NCU01893.7	4.0	16.2666666667		
NCU01895.7	8.0	20.5333333333		
NCU01896.7	8.0	20.5333333333		
NCU01899.7	12.0	0.8		
NCU01900.7	6.0	18.4		
NCU01902.7	22.0	11.4666666667		
NCU01903.7	22.0	11.4666666667		
NCU01904.7	4.0	16.2666666667		
NCU01905.7	4.0	16.2666666667	0.0	12.0
NCU01906.7	14.0	2.93333333333	22.0	11.4666666667
NCU01910.7	10.0	22.6666666667		
NCU01912.7			18.0	7.2
NCU01914.7	10.0	22.6666666667		
NCU01919.7	2.0	14.1333333333	16.0	5.06666666667
NCU01920.7	8.0	20.5333333333		
NCU01926.7	16.0	5.06666666667		
NCU01927.7	20.0	9.33333333333		
NCU01935.7	10.0	22.6666666667		
NCU01938.7	8.0	20.5333333333		
NCU01939.7	2.0	14.1333333333		
NCU01940.7	18.0	7.2		
NCU01944.7	0.0	12.0		
NCU01945.7	10.0	22.6666666667		
NCU01946.7	6.0	18.4		
NCU01948.7	6.0	18.4	16.0	5.06666666667
NCU01949.7	6.0	18.4		
NCU01957.7	22.0	11.4666666667		
NCU01958.7	6.0	18.4		
NCU01962.7	16.0	5.06666666667		
NCU01966.7	6.0	18.4	16.0	5.06666666667
NCU01967.7	6.0	18.4		
NCU01969.7	6.0	18.4		
NCU01970.7	2.0	14.1333333333		
NCU01972.7	6.0	18.4	12.0	0.8
NCU01973.7	12.0	0.8		
NCU01975.7	4.0	16.2666666667	12.0	0.8
NCU01976.7	12.0	0.8		
NCU01978.7	10.0	22.6666666667		
NCU01979.7			0.0	12.0
NCU01981.7			18.0	7.2
NCU01983.7	4.0	16.2666666667		
NCU01989.7	12.0	0.8		
NCU01990.7	22.0	11.4666666667		
NCU01991.7	4.0	16.2666666667	0.0	12.0
NCU01992.7			0.0	12.0
NCU01993.7	4.0	16.2666666667		
NCU01994.7	8.0	20.5333333333		
NCU01996.7	16.0	5.06666666667		
NCU01998.7	4.0	16.2666666667		
NCU02001.7	4.0	16.2666666667		
NCU02002.7	2.0	14.1333333333		
NCU02003.7	4.0	16.2666666667		
NCU02004.7	2.0	14.1333333333		
NCU02006.7			0.0	12.0
NCU02007.7	12.0	0.8		
NCU02009.7	18.0	7.2		
NCU02012.7	14.0	2.93333333333		
NCU02014.7			20.0	9.33333333333
NCU02017.7	20.0	9.33333333333		
NCU02018.7			20.0	9.33333333333
NCU02020.7	0.0	12.0	0.0	12.0
NCU02022.7	16.0	5.06666666667		
NCU02024.7	14.0	2.93333333333		
NCU02025.7	2.0	14.1333333333		
NCU02026.7	16.0	5.06666666667		
NCU02027.7	10.0	22.6666666667		
NCU02028.7	16.0	5.06666666667	14.0	2.93333333333
NCU02031.7	10.0	22.6666666667		
NCU02041.7	4.0	16.2666666667		
NCU02043.7	8.0	20.5333333333		
NCU02046.7	0.0	12.0		
NCU02051.7	22.0	11.4666666667		
NCU02054.7	10.0	22.6666666667		
NCU02055.7	20.0	9.33333333333		
NCU02056.7	6.0	18.4		
NCU02057.7	22.0	11.4666666667		
NCU02059.7	22.0	11.4666666667		
NCU02061.7	22.0	11.4666666667		
NCU02062.7	0.0	12.0		
NCU02065.7	22.0	11.4666666667		
NCU02066.7	18.0	7.2		
NCU02068.7	4.0	16.2666666667		
NCU02070.7	0.0	12.0		
NCU02071.7	12.0	0.8		
NCU02074.7	16.0	5.06666666667	0.0	12.0
NCU02075.7	2.0	14.1333333333	2.0	14.1333333333
NCU02076.7	2.0	14.1333333333		
NCU02078.7	16.0	5.06666666667		
NCU02082.7			2.0	14.1333333333
NCU02084.7	0.0	12.0	20.0	9.33333333333
NCU02086.7	22.0	11.4666666667		
NCU02090.7	22.0	11.4666666667		
NCU02095.7	10.0	22.6666666667		
NCU02096.7	14.0	2.93333333333	2.0	14.1333333333
NCU02097.7	10.0	22.6666666667	0.0	12.0
NCU02098.7	6.0	18.4	12.0	0.8
NCU02099.7	22.0	11.4666666667		
NCU02100.7	14.0	2.93333333333		
NCU02103.7			6.0	18.4
NCU02105.7	2.0	14.1333333333		
NCU02106.7	4.0	16.2666666667		
NCU02108.7			6.0	18.4
NCU02109.7	10.0	22.6666666667	22.0	11.4666666667
NCU02110.7	2.0	14.1333333333		
NCU02111.7	18.0	7.2		
NCU02112.7			16.0	5.06666666667
NCU02117.7	0.0	12.0	4.0	16.2666666667
NCU02119.7	0.0	12.0		
NCU02120.7	8.0	20.5333333333		
NCU02123.7	14.0	2.93333333333		
NCU02124.7	14.0	2.93333333333		
NCU02126.7	12.0	0.8	22.0	11.4666666667
NCU02127.7	4.0	16.2666666667		
NCU02128.7	4.0	16.2666666667		
NCU02134.7			2.0	14.1333333333
NCU02136.7	10.0	22.6666666667		
NCU02138.7	20.0	9.33333333333		
NCU02139.7	20.0	9.33333333333	14.0	2.93333333333
NCU02142.7	22.0	11.4666666667		
NCU02144.7	18.0	7.2		
NCU02145.7	10.0	22.6666666667		
NCU02148.7			16.0	5.06666666667
NCU02151.7	12.0	0.8		
NCU02152.7			12.0	0.8
NCU02155.7	22.0	11.4666666667		
NCU02165.7	20.0	9.33333333333		
NCU02167.7	6.0	18.4		
NCU02170.7	12.0	0.8		
NCU02172.7	16.0	5.06666666667		
NCU02174.7	12.0	0.8		
NCU02175.7	20.0	9.33333333333		
NCU02181.7	4.0	16.2666666667	12.0	0.8
NCU02182.7	20.0	9.33333333333		
NCU02184.7			4.0	16.2666666667
NCU02187.7	22.0	11.4666666667		
NCU02188.7	6.0	18.4		
NCU02190.7	16.0	5.06666666667		
NCU02191.7	16.0	5.06666666667		
NCU02192.7	0.0	12.0		
NCU02193.7	2.0	14.1333333333	8.0	20.5333333333
NCU02200.7			0.0	12.0
NCU02202.7	8.0	20.5333333333		
NCU02207.7	6.0	18.4	0.0	12.0
NCU02208.7	4.0	16.2666666667		
NCU02209.7	4.0	16.2666666667	6.0	18.4
NCU02211.7	8.0	20.5333333333		
NCU02213.7	8.0	20.5333333333		
NCU02214.7	16.0	5.06666666667		
NCU02220.7			8.0	20.5333333333
NCU02223.7	22.0	11.4666666667		
NCU02226.7	6.0	18.4		
NCU02227.7	12.0	0.8	0.0	12.0
NCU02228.7			18.0	7.2
NCU02230.7	0.0	12.0		
NCU02231.7			16.0	5.06666666667
NCU02232.7	14.0	2.93333333333		
NCU02236.7	22.0	11.4666666667	2.0	14.1333333333
NCU02240.7	14.0	2.93333333333		
NCU02242.7	14.0	2.93333333333		
NCU02243.7	22.0	11.4666666667		
NCU02244.7	6.0	18.4		
NCU02246.7	4.0	16.2666666667		
NCU02247.7	2.0	14.1333333333		
NCU02250.7	8.0	20.5333333333		
NCU02252.7	10.0	22.6666666667	0.0	12.0
NCU02256.7	22.0	11.4666666667		
NCU02257.7	22.0	11.4666666667	14.0	2.93333333333
NCU02259.7	0.0	12.0		
NCU02260.7			0.0	12.0
NCU02261.7	6.0	18.4		
NCU02262.7	2.0	14.1333333333		
NCU02263.7			20.0	9.33333333333
NCU02264.7	4.0	16.2666666667		
NCU02265.7	14.0	2.93333333333		
NCU02269.7	14.0	2.93333333333	12.0	0.8
NCU02270.7	12.0	0.8		
NCU02273.7	8.0	20.5333333333		
NCU02278.7	2.0	14.1333333333		
NCU02280.7			22.0	11.4666666667
NCU02282.7	18.0	7.2		
NCU02284.7	4.0	16.2666666667		
NCU02286.7			16.0	5.06666666667
NCU02287.7	20.0	9.33333333333	10.0	22.6666666667
NCU02291.7	8.0	20.5333333333		
NCU02293.7			2.0	14.1333333333
NCU02294.7	20.0	9.33333333333		
NCU02295.7			0.0	12.0
NCU02296.7	22.0	11.4666666667		
NCU02299.7	18.0	7.2		
NCU02301.7	2.0	14.1333333333		
NCU02302.7	4.0	16.2666666667	4.0	16.2666666667
NCU02303.7	0.0	12.0		
NCU02305.7	22.0	11.4666666667		
NCU02307.7	6.0	18.4		
NCU02311.7	10.0	22.6666666667		
NCU02316.7			10.0	22.6666666667
NCU02317.7	12.0	0.8		
NCU02319.7	2.0	14.1333333333		
NCU02321.7	10.0	22.6666666667		
NCU02322.7	10.0	22.6666666667	0.0	12.0
NCU02329.7	10.0	22.6666666667		
NCU02333.7	6.0	18.4	16.0	5.06666666667
NCU02335.7	2.0	14.1333333333		
NCU02336.7	0.0	12.0		
NCU02338.7	12.0	0.8		
NCU02342.7	16.0	5.06666666667		
NCU02343.7	14.0	2.93333333333		
NCU02348.7	4.0	16.2666666667		
NCU02351.7	22.0	11.4666666667		
NCU02356.7	4.0	16.2666666667		
NCU02357.7	4.0	16.2666666667	8.0	20.5333333333
NCU02358.7	10.0	22.6666666667	2.0	14.1333333333
NCU02360.7	6.0	18.4	22.0	11.4666666667
NCU02362.7	8.0	20.5333333333		
NCU02363.7	22.0	11.4666666667		
NCU02364.7	16.0	5.06666666667		
NCU02366.7			2.0	14.1333333333
NCU02369.7	14.0	2.93333333333		
NCU02370.7	14.0	2.93333333333		
NCU02371.7	10.0	22.6666666667		
NCU02373.7	6.0	18.4		
NCU02375.7			4.0	16.2666666667
NCU02376.7	2.0	14.1333333333		
NCU02378.7	8.0	20.5333333333		
NCU02381.7	20.0	9.33333333333	20.0	9.33333333333
NCU02386.7	10.0	22.6666666667		
NCU02388.7	4.0	16.2666666667		
NCU02390.7	6.0	18.4		
NCU02395.7	12.0	0.8		
NCU02397.7	10.0	22.6666666667		
NCU02399.7	6.0	18.4		
NCU02400.7	22.0	11.4666666667	6.0	18.4
NCU02405.7	2.0	14.1333333333		
NCU02407.7	4.0	16.2666666667		
NCU02408.7	2.0	14.1333333333		
NCU02411.7	18.0	7.2		
NCU02413.7	16.0	5.06666666667		
NCU02416.7	12.0	0.8		
NCU02417.7	14.0	2.93333333333		
NCU02419.7	4.0	16.2666666667	14.0	2.93333333333
NCU02420.7	16.0	5.06666666667		
NCU02422.7			18.0	7.2
NCU02424.7	20.0	9.33333333333		
NCU02425.7	10.0	22.6666666667		
NCU02428.7	22.0	11.4666666667		
NCU02429.7	20.0	9.33333333333		
NCU02430.7	10.0	22.6666666667	4.0	16.2666666667
NCU02432.7	10.0	22.6666666667		
NCU02434.7	2.0	14.1333333333		
NCU02435.7	4.0	16.2666666667		
NCU02437.7	0.0	12.0		
NCU02450.7	10.0	22.6666666667	4.0	16.2666666667
NCU02452.7	20.0	9.33333333333		
NCU02457.7	4.0	16.2666666667		
NCU02459.7	12.0	0.8		
NCU02460.7	2.0	14.1333333333		
NCU02464.7	10.0	22.6666666667	0.0	12.0
NCU02466.7	10.0	22.6666666667		
NCU02468.7	0.0	12.0	22.0	11.4666666667
NCU02470.7	22.0	11.4666666667		
NCU02472.7	8.0	20.5333333333	22.0	11.4666666667
NCU02474.7	6.0	18.4		
NCU02475.7			2.0	14.1333333333
NCU02478.7	18.0	7.2		
NCU02482.7	6.0	18.4		
NCU02486.7	6.0	18.4		
NCU02490.7	2.0	14.1333333333		
NCU02491.7	20.0	9.33333333333		
NCU02492.7	2.0	14.1333333333		
NCU02493.7	12.0	0.8		
NCU02494.7	0.0	12.0	8.0	20.5333333333
NCU02495.7	2.0	14.1333333333		
NCU02497.7	4.0	16.2666666667		
NCU02499.7	12.0	0.8	2.0	14.1333333333
NCU02500.7	6.0	18.4		
NCU02504.7			18.0	7.2
NCU02505.7	10.0	22.6666666667		
NCU02509.7	4.0	16.2666666667		
NCU02511.7	14.0	2.93333333333		
NCU02513.7	10.0	22.6666666667		
NCU02517.7	18.0	7.2		
NCU02519.7	18.0	7.2	18.0	7.2
NCU02520.7	2.0	14.1333333333		
NCU02522.7	0.0	12.0		
NCU02525.7	10.0	22.6666666667		
NCU02526.7	4.0	16.2666666667	8.0	20.5333333333
NCU02529.7	16.0	5.06666666667		
NCU02530.7			2.0	14.1333333333
NCU02531.7	14.0	2.93333333333	8.0	20.5333333333
NCU02533.7	4.0	16.2666666667		
NCU02536.7	4.0	16.2666666667		
NCU02539.7	2.0	14.1333333333		
NCU02540.7	10.0	22.6666666667		
NCU02541.7			22.0	11.4666666667
NCU02542.7	2.0	14.1333333333		
NCU02545.7			2.0	14.1333333333
NCU02546.7	2.0	14.1333333333		
NCU02549.7			2.0	14.1333333333
NCU02550.7	16.0	5.06666666667		
NCU02552.7	22.0	11.4666666667		
NCU02553.7	12.0	0.8		
NCU02555.7	0.0	12.0	0.0	12.0
NCU02560.7			16.0	5.06666666667
NCU02563.7	14.0	2.93333333333		
NCU02564.7	10.0	22.6666666667		
NCU02568.7	22.0	11.4666666667		
NCU02570.7			18.0	7.2
NCU02573.7	6.0	18.4		
NCU02577.7			2.0	14.1333333333
NCU02579.7	14.0	2.93333333333		
NCU02580.7			12.0	0.8
NCU02583.7	10.0	22.6666666667	0.0	12.0
NCU02584.7	22.0	11.4666666667		
NCU02585.7	14.0	2.93333333333	10.0	22.6666666667
NCU02587.7	20.0	9.33333333333	8.0	20.5333333333
NCU02589.7			4.0	16.2666666667
NCU02590.7	22.0	11.4666666667		
NCU02592.7	0.0	12.0		
NCU02594.7	14.0	2.93333333333		
NCU02595.7			2.0	14.1333333333
NCU02596.7	10.0	22.6666666667		
NCU02597.7	12.0	0.8	0.0	12.0
NCU02599.7	14.0	2.93333333333		
NCU02601.7			0.0	12.0
NCU02602.7	6.0	18.4		
NCU02603.7	12.0	0.8		
NCU02604.7	0.0	12.0		
NCU02605.7	22.0	11.4666666667	20.0	9.33333333333
NCU02606.7			0.0	12.0
NCU02609.7	18.0	7.2		
NCU02610.7	14.0	2.93333333333	0.0	12.0
NCU02612.7	2.0	14.1333333333		
NCU02614.7			0.0	12.0
NCU02616.7	4.0	16.2666666667		
NCU02617.7	0.0	12.0		
NCU02621.7	4.0	16.2666666667		
NCU02623.7	6.0	18.4		
NCU02624.7			4.0	16.2666666667
NCU02627.7	14.0	2.93333333333		
NCU02629.7			2.0	14.1333333333
NCU02630.7	12.0	0.8		
NCU02631.7	0.0	12.0		
NCU02636.7			8.0	20.5333333333
NCU02638.7	14.0	2.93333333333		
NCU02639.7	10.0	22.6666666667		
NCU02640.7	4.0	16.2666666667		
NCU02644.7	10.0	22.6666666667		
NCU02650.7	2.0	14.1333333333		
NCU02651.7	12.0	0.8	20.0	9.33333333333
NCU02652.7	10.0	22.6666666667		
NCU02653.7	12.0	0.8		
NCU02654.7	10.0	22.6666666667		
NCU02657.7			12.0	0.8
NCU02658.7	14.0	2.93333333333		
NCU02660.7			18.0	7.2
NCU02664.7	12.0	0.8		
NCU02665.7	14.0	2.93333333333		
NCU02668.7	16.0	5.06666666667		
NCU02671.7	22.0	11.4666666667		
NCU02677.7			12.0	0.8
NCU02680.7	12.0	0.8		
NCU02684.7			0.0	12.0
NCU02687.7	4.0	16.2666666667		
NCU02688.7	4.0	16.2666666667		
NCU02689.7	10.0	22.6666666667		
NCU02690.7	12.0	0.8	18.0	7.2
NCU02692.7	10.0	22.6666666667		
NCU02695.7			2.0	14.1333333333
NCU02701.7	4.0	16.2666666667	18.0	7.2
NCU02702.7	20.0	9.33333333333		
NCU02705.7	4.0	16.2666666667		
NCU02707.7	4.0	16.2666666667	10.0	22.6666666667
NCU02711.7	18.0	7.2		
NCU02712.7	10.0	22.6666666667		
NCU02713.7	8.0	20.5333333333		
NCU02716.7	2.0	14.1333333333	18.0	7.2
NCU02718.7	20.0	9.33333333333		
NCU02720.7	0.0	12.0	12.0	0.8
NCU02724.7			4.0	16.2666666667
NCU02726.7	20.0	9.33333333333	2.0	14.1333333333
NCU02729.7	2.0	14.1333333333		
NCU02730.7	0.0	12.0		
NCU02732.7	20.0	9.33333333333		
NCU02735.7	20.0	9.33333333333		
NCU02739.7			20.0	9.33333333333
NCU02741.7	2.0	14.1333333333		
NCU02742.7	4.0	16.2666666667		
NCU02743.7	10.0	22.6666666667		
NCU02744.7	6.0	18.4		
NCU02746.7	2.0	14.1333333333	20.0	9.33333333333
NCU02748.7	12.0	0.8		
NCU02749.7	14.0	2.93333333333		
NCU02750.7	20.0	9.33333333333	4.0	16.2666666667
NCU02754.7	0.0	12.0	8.0	20.5333333333
NCU02755.7	4.0	16.2666666667		
NCU02757.7	4.0	16.2666666667	2.0	14.1333333333
NCU02761.7	22.0	11.4666666667		
NCU02764.7	12.0	0.8		
NCU02765.7	10.0	22.6666666667		
NCU02767.7	4.0	16.2666666667		
NCU02771.7			2.0	14.1333333333
NCU02772.7	10.0	22.6666666667	20.0	9.33333333333
NCU02773.7	20.0	9.33333333333		
NCU02778.7	10.0	22.6666666667	4.0	16.2666666667
NCU02781.7	8.0	20.5333333333		
NCU02783.7	8.0	20.5333333333		
NCU02789.7	2.0	14.1333333333		
NCU02790.7	16.0	5.06666666667		
NCU02793.7			8.0	20.5333333333
NCU02794.7	0.0	12.0		
NCU02795.7	8.0	20.5333333333		
NCU02797.7	10.0	22.6666666667	0.0	12.0
NCU02798.7			0.0	12.0
NCU02800.7	4.0	16.2666666667		
NCU02802.7	12.0	0.8	10.0	22.6666666667
NCU02803.7	2.0	14.1333333333		
NCU02804.7	4.0	16.2666666667		
NCU02805.7	2.0	14.1333333333		
NCU02806.7			8.0	20.5333333333
NCU02807.7	6.0	18.4		
NCU02808.7	0.0	12.0	2.0	14.1333333333
NCU02810.7	4.0	16.2666666667		
NCU02811.7	20.0	9.33333333333		
NCU02813.7	6.0	18.4		
NCU02814.7	6.0	18.4		
NCU02815.7			4.0	16.2666666667
NCU02819.7	10.0	22.6666666667	20.0	9.33333333333
NCU02826.7	8.0	20.5333333333		
NCU02829.7	16.0	5.06666666667	22.0	11.4666666667
NCU02830.7	20.0	9.33333333333		
NCU02833.7	10.0	22.6666666667		
NCU02834.7	4.0	16.2666666667		
NCU02837.7	16.0	5.06666666667		
NCU02838.7	0.0	12.0		
NCU02839.7			6.0	18.4
NCU02842.7	22.0	11.4666666667		
NCU02846.7	10.0	22.6666666667		
NCU02849.7			4.0	16.2666666667
NCU02850.7	20.0	9.33333333333		
NCU02853.7	18.0	7.2		
NCU02854.7	10.0	22.6666666667		
NCU02876.7	18.0	7.2		
NCU02877.7	20.0	9.33333333333		
NCU02878.7	22.0	11.4666666667		
NCU02880.7	0.0	12.0		
NCU02882.7	2.0	14.1333333333		
NCU02885.7	18.0	7.2		
NCU02887.7	10.0	22.6666666667	10.0	22.6666666667
NCU02888.7	4.0	16.2666666667		
NCU02890.7	14.0	2.93333333333	14.0	2.93333333333
NCU02894.7	10.0	22.6666666667	2.0	14.1333333333
NCU02897.7	6.0	18.4		
NCU02899.7	10.0	22.6666666667		
NCU02903.7	12.0	0.8		
NCU02904.7	16.0	5.06666666667	2.0	14.1333333333
NCU02905.7	6.0	18.4		
NCU02906.7	10.0	22.6666666667	18.0	7.2
NCU02909.7	22.0	11.4666666667		
NCU02913.7	8.0	20.5333333333		
NCU02916.7	12.0	0.8		
NCU02917.7	12.0	0.8		
NCU02919.7	6.0	18.4		
NCU02921.7	2.0	14.1333333333		
NCU02923.7	6.0	18.4		
NCU02924.7	4.0	16.2666666667		
NCU02925.7	2.0	14.1333333333		
NCU02930.7	22.0	11.4666666667		
NCU02932.7	2.0	14.1333333333		
NCU02934.7	4.0	16.2666666667		
NCU02935.7	4.0	16.2666666667		
NCU02940.7	20.0	9.33333333333		
NCU02941.7			2.0	14.1333333333
NCU02942.7	8.0	20.5333333333		
NCU02943.7	8.0	20.5333333333		
NCU02948.7	14.0	2.93333333333		
NCU02950.7	2.0	14.1333333333		
NCU02951.7	6.0	18.4		
NCU02954.7	16.0	5.06666666667	14.0	2.93333333333
NCU02955.7	6.0	18.4	2.0	14.1333333333
NCU02956.7	20.0	9.33333333333		
NCU02959.7	10.0	22.6666666667		
NCU02976.7	10.0	22.6666666667		
NCU02977.7	22.0	11.4666666667	4.0	16.2666666667
NCU02978.7	14.0	2.93333333333		
NCU02980.7	22.0	11.4666666667		
NCU02988.7	4.0	16.2666666667		
NCU02990.7	22.0	11.4666666667		
NCU02994.7	18.0	7.2		
NCU02997.7			0.0	12.0
NCU02998.7			10.0	22.6666666667
NCU03004.7	4.0	16.2666666667		
NCU03009.7	2.0	14.1333333333		
NCU03010.7			2.0	14.1333333333
NCU03011.7	10.0	22.6666666667		
NCU03013.7			22.0	11.4666666667
NCU03015.7	2.0	14.1333333333		
NCU03016.7	12.0	0.8		
NCU03019.7	22.0	11.4666666667		
NCU03020.7			20.0	9.33333333333
NCU03021.7	18.0	7.2		
NCU03022.7	22.0	11.4666666667		
NCU03023.7	10.0	22.6666666667	0.0	12.0
NCU03030.7	4.0	16.2666666667	8.0	20.5333333333
NCU03031.7	20.0	9.33333333333		
NCU03034.7	14.0	2.93333333333		
NCU03035.7	18.0	7.2		
NCU03036.7	4.0	16.2666666667		
NCU03038.7	6.0	18.4		
NCU03041.7			16.0	5.06666666667
NCU03042.7	0.0	12.0		
NCU03043.7	4.0	16.2666666667		
NCU03045.7	18.0	7.2		
NCU03051.7	0.0	12.0	14.0	2.93333333333
NCU03054.7	22.0	11.4666666667		
NCU03055.7	16.0	5.06666666667		
NCU03058.7	10.0	22.6666666667	10.0	22.6666666667
NCU03060.7	4.0	16.2666666667		
NCU03061.7	18.0	7.2		
NCU03063.7	12.0	0.8		
NCU03064.7	8.0	20.5333333333	18.0	7.2
NCU03066.7	22.0	11.4666666667		
NCU03068.7			10.0	22.6666666667
NCU03070.7	12.0	0.8		
NCU03071.7	10.0	22.6666666667	22.0	11.4666666667
NCU03072.7	12.0	0.8		
NCU03074.7	16.0	5.06666666667		
NCU03077.7	8.0	20.5333333333		
NCU03078.7	22.0	11.4666666667		
NCU03080.7	0.0	12.0	12.0	0.8
NCU03085.7	6.0	18.4		
NCU03086.7	6.0	18.4		
NCU03087.7	12.0	0.8		
NCU03091.7	8.0	20.5333333333		
NCU03092.7	0.0	12.0	2.0	14.1333333333
NCU03093.7	4.0	16.2666666667		
NCU03094.7			12.0	0.8
NCU03098.7	12.0	0.8		
NCU03100.7	10.0	22.6666666667	8.0	20.5333333333
NCU03101.7	0.0	12.0		
NCU03102.7	4.0	16.2666666667		
NCU03103.7	6.0	18.4		
NCU03112.7	6.0	18.4		
NCU03115.7	10.0	22.6666666667		
NCU03116.7	18.0	7.2		
NCU03117.7	0.0	12.0		
NCU03121.7	22.0	11.4666666667		
NCU03124.7	4.0	16.2666666667		
NCU03126.7	6.0	18.4		
NCU03128.7	10.0	22.6666666667		
NCU03130.7	10.0	22.6666666667		
